 X, Y
 0.5356, 0.0248
 0.3877, -0.2423
 1.0126, 0.1243
 0.8773, -0.6609
 0.8845, 0.3701
-0.2098, 0.4719
 0.3776, -0.3293
 0.6846, -0.7928
 1.0017, -0.0823
-0.2206, -1.0751
-0.7296, 0.6201
-0.3342, 0.4296
-0.0749, -0.4452
 0.1993, -0.4095
-0.5231, -0.1919
 0.9713, 0.1185
-0.4439, -0.8450
-0.4298, 0.0439
 0.3738, -0.3027
-0.3149, 0.2869
-0.9580, -0.0836
-0.1231, 0.4539
-0.3790, -0.3584
 0.7337, 0.5650
 0.9581, 0.3862
 1.0199, 0.2181
 0.0600, -0.5325
-0.0091, -0.9607
-0.3071, -0.5022
 0.9399, 0.1862
 0.4636, -0.0131
-0.0136, -0.5375
 0.2544, -0.8625
 0.6493, -0.8661
-0.3056, 0.3305
 0.1582, -0.4128
 0.9119, 0.0886
-0.6352, -0.1155
 0.8304, -0.6284
 0.5630, -0.0366
 0.9033, -0.5581
 0.0343, 1.0017
-0.4210, 0.8302
-0.1098, 0.5935
 0.8562, -0.2769
-0.4409, -0.9309
-0.0339, 0.4378
 0.4764, 0.1541
-1.0514, -0.0353
-0.5528, 0.8708
-1.0365, -0.0096
 0.5369, -0.2879
-0.4718, 0.0873
 0.3327, 0.4419
 1.1071, 0.2047
 0.1897, 0.4612
-1.0201, 0.0192
 0.1401, 0.5067
-0.0568, -0.9734
 0.3677, 0.9352
-0.2705, -0.9719
 0.4660, 0.0844
 0.2252, -0.4546
 0.3332, 0.9338
-0.8242, 0.7005
-0.4181, 0.1631
-0.7670, -0.6361
-0.4966, 0.1412
 0.6107, -0.7822
-0.4271, 0.3000
-0.1349, -0.9442
-0.3101, 0.5119
-0.0560, 0.5613
 0.0069, -0.4678
-0.0495, 0.4620
-0.3703, -0.3092
-0.6752, -0.7084
 0.4193, -0.1341
 0.9620, -0.0756
-0.3517, -0.3045
-0.7847, 0.4981
-0.2911, -0.9567
-0.7499, 0.7265
 0.6101, -0.8420
 0.1400, 0.9805
-0.4899, 0.0372
-0.1669, 0.4861
 0.4408, 0.1242
-1.0256, -0.1635
-0.1504, -0.9992
 0.2753, 1.0068
-0.6974, 0.7181
 0.5710, 0.7237
 0.2979, 0.4060
-0.4716, 0.1653
